RN,Congestion,index_10,x,y
배울1로,1,23.2,127.3949,36.4163
만년로18번길,1,23.2,127.3748,36.3661
변정1길,1,23,127.3794,36.3263
중반1길,3,22.85,127.3811,36.3267
진잠로140번길,1,22.8,127.3175,36.3013
계룡로354번길,1,22.8,127.3752,36.3493
대덕대로,1,22.8,127.3764,36.3487
우암로312번길,2,22.8,127.4506,36.3464
계룡로830번길,3,22.8,127.4068,36.3271
봉산로40번길,1,22.8,127.386,36.4381
문화원로10번길,3,22.8,127.3374,36.3601
충무로71번길,2,22.7,127.4240679,36.3190681
계백로1590번길,1,22.6,127.3973151,36.3164315
배울2로,1,22.6,127.3907781,36.4201705
둔산대로117번길,1,22.6,127.3819873,36.368147
계족로521번길,1,22.5,127.428715,36.3582619
갈마로197번길,1,22.3,127.3796013,36.3391167
충무로107번길,2,22.2,127.4276748,36.3199141
홍도로46번길,1,22.2,127.4294968,36.3516339
한밭대로600번길,3,22.2,127.3653,36.3581
문창로,2,22.1,127.4333749,36.3193578
진잠로78번길,1,22,127.3179802,36.2989933
용운로,2,21.8,127.4530028,36.3276039
탄방로,3,21.8,127.3950358,36.3406285
오정로52번길,3,21.6,127.4128429,36.3529133
계족로,1,21.6,127.4292475,36.369924
정림로70번길,1,21.6,127.3670525,36.3072661
도솔로,1,21.6,127.3872545,36.3331924
